	inst_id	rna_plate	rna_well	pert_id	pert_iname	pert_type	pert_dose	pert_dose_unit	pert_time	pert_time_unit	cell_id
2599	CPC001_HCC515_24H_X3_B3_DUO52HI53LO:G16	CPC001_HCC515_24H_X3	G16	BRD-K77133231	PD-169316	trt_cp	10.0	um	24	h	HCC515
3377	CPC001_HCC515_6H_X2_B3_DUO52HI53LO:P23	CPC001_HCC515_6H_X2	P23	BRD-K30189597	SYK-inhibitor	trt_cp	10.0	um	6	h	HCC515
6888	CPC001_VCAP_24H_X2_B3_DUO52HI53LO:F19	CPC001_VCAP_24H_X2	F19	BRD-A74269027	isoxsuprine	trt_cp	10.0	um	24	h	VCAP
10684	CPC002_HA1E_6H_X3_B3_DUO52HI53LO:H19	CPC002_HA1E_6H_X3	H19	BRD-A51829654	BRL-15572	trt_cp	10.0	um	6	h	HA1E
11181	CPC002_HA1E_6H_X1_B3_DUO52HI53LO:H17	CPC002_HA1E_6H_X1	H17	BRD-A62336480	niguldipine	trt_cp	10.0	um	6	h	HA1E
11211	CPC002_HA1E_6H_X2_B3_DUO52HI53LO:H02	CPC002_HA1E_6H_X2	H02	BRD-K90789829	nefazodone	trt_cp	10.0	um	6	h	HA1E
12441	CPC002_HCC515_6H_X2_B3_DUO52HI53LO:C11	CPC002_HCC515_6H_X2	C11	BRD-K39188321	betamethasone	trt_cp	10.0	um	6	h	HCC515
12491	CPC002_HCC515_6H_X1_B3_DUO52HI53LO:G09	CPC002_HCC515_6H_X1	G09	BRD-K72816382	cinalukast	trt_cp	10.0	um	6	h	HCC515
13189	CPC002_HCC515_6H_X2_B3_DUO52HI53LO:E22	CPC002_HCC515_6H_X2	E22	BRD-A26097136	bulleyaconitine-a	trt_cp	10.0	um	6	h	HCC515
14776	CPC002_PC3_6H_X3_B3_DUO52HI53LO:A23	CPC002_PC3_6H_X3	A23	BRD-K36258877	AZ-10417808	trt_cp	10.0	um	6	h	PC3
18492	CPC003_HA1E_24H_X2_B3_DUO52HI53LO:A09	CPC003_HA1E_24H_X2	A09	BRD-A23226398	estradiol	trt_cp	10.0	um	24	h	HA1E
18745	CPC003_HA1E_24H_X2_B3_DUO52HI53LO:P04	CPC003_HA1E_24H_X2	P04	BRD-A99449986	MT-21	trt_cp	10.0	um	24	h	HA1E
18750	CPC003_HA1E_24H_X1_B3_DUO52HI53LO:D17	CPC003_HA1E_24H_X1	D17	BRD-K38477985	malonoben	trt_cp	10.0	um	24	h	HA1E
18802	CPC003_HA1E_24H_X2_B3_DUO52HI53LO:H09	CPC003_HA1E_24H_X2	H09	BRD-K32696739	noreleagnine	trt_cp	10.0	um	24	h	HA1E
19302	CPC003_HA1E_6H_X3_B3_DUO52HI53LO:O12	CPC003_HA1E_6H_X3	O12	BRD-A42167015	carteolol	trt_cp	10.0	um	6	h	HA1E
19544	CPC003_HA1E_6H_X3_B3_DUO52HI53LO:K12	CPC003_HA1E_6H_X3	K12	BRD-A02710418	meptazinol	trt_cp	10.0	um	6	h	HA1E
19552	CPC003_HA1E_6H_X3_B3_DUO52HI53LO:M12	CPC003_HA1E_6H_X3	M12	BRD-A23683907	NAS-181	trt_cp	10.0	um	6	h	HA1E
19581	CPC003_HA1E_6H_X3_B3_DUO52HI53LO:K06	CPC003_HA1E_6H_X3	K06	BRD-A00100033	nifurtimox	trt_cp	10.0	um	6	h	HA1E
20009	CPC003_HCC515_24H_X2_B3_DUO52HI53LO:M21	CPC003_HCC515_24H_X2	M21	BRD-K81839095	estrone	trt_cp	10.0	um	24	h	HCC515
21304	CPC003_HCC515_6H_X2_B3_DUO52HI53LO:F23	CPC003_HCC515_6H_X2	F23	BRD-K28115081	apafant	trt_cp	10.0	um	6	h	HCC515
23725	CPC003_PC3_6H_X3_B3_DUO52HI53LO:M24	CPC003_PC3_6H_X3	M24	BRD-A36074203	remacemide	trt_cp	10.0	um	6	h	PC3
